               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.013444,           0.0075025,                   0,              0.8278,             0.64341,             0.72156,             0.47458,            0.045913,           0.0094313,                   0,           0.0079134,           0.0079134,           0.0079134
                 139,            0.013545,            0.007278,                   0,             0.80927,             0.64806,             0.71817,             0.47564,            0.046005,           0.0094007,                   0,           0.0078982,           0.0078982,           0.0078982
                 140,            0.013369,           0.0072803,                   0,             0.82194,             0.63696,             0.71987,             0.47698,            0.046131,            0.009388,                   0,           0.0078829,           0.0078829,           0.0078829
                 141,            0.014042,           0.0074271,                   0,             0.81182,             0.64241,             0.72152,             0.47781,             0.04629,           0.0093701,                   0,           0.0078677,           0.0078677,           0.0078677
                 142,            0.013707,           0.0075394,                   0,             0.84243,             0.62326,             0.72139,             0.47808,            0.046362,           0.0093784,                   0,           0.0078525,           0.0078525,           0.0078525
                 143,            0.013652,           0.0073573,                   0,             0.84031,             0.62004,             0.71773,             0.47836,            0.046375,           0.0093514,                   0,           0.0078372,           0.0078372,           0.0078372
                 144,            0.013133,            0.007316,                   0,             0.81101,             0.63256,              0.7171,             0.47864,            0.046321,           0.0093429,                   0,            0.007822,            0.007822,            0.007822
                 145,            0.013641,           0.0073553,                   0,             0.80391,             0.63659,             0.71592,             0.47821,            0.046227,           0.0093121,                   0,           0.0078068,           0.0078068,           0.0078068
                 146,            0.013423,           0.0072685,                   0,              0.8415,             0.61007,             0.71689,             0.47858,            0.046187,           0.0092899,                   0,           0.0077915,           0.0077915,           0.0077915
                 147,            0.013137,           0.0071842,                   0,             0.84006,             0.61265,             0.72088,              0.4803,            0.046117,           0.0092883,                   0,           0.0077763,           0.0077763,           0.0077763
                 148,            0.013469,           0.0071929,                   0,              0.8183,             0.62617,             0.71619,             0.47744,            0.046139,           0.0093167,                   0,           0.0077611,           0.0077611,           0.0077611
                 149,            0.013117,            0.006992,                   0,             0.82075,             0.62675,              0.7167,             0.47675,            0.046103,           0.0093153,                   0,           0.0077458,           0.0077458,           0.0077458
                 150,            0.013355,           0.0071813,                   0,             0.81354,             0.63303,             0.71938,             0.47802,            0.046078,           0.0093237,                   0,           0.0077306,           0.0077306,           0.0077306
                 151,            0.013197,           0.0072511,                   0,             0.81234,             0.63479,             0.71785,             0.48053,            0.046024,           0.0093489,                   0,           0.0077154,           0.0077154,           0.0077154
                 152,               0.013,           0.0071368,                   0,             0.81957,             0.63707,             0.71731,             0.48113,            0.045932,           0.0093416,                   0,           0.0077002,           0.0077002,           0.0077002
